timestamp,roll_deg,pitch_deg,yaw_deg,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1785748590.823105,90.7524,-8.6588,-47.1678,0.000000,0.000000,0.000000,-0.024638,-0.003068,-0.002615
1785748590.921435,90.7537,-8.6626,-47.1459,0.000000,0.000000,0.000000,0.017251,0.001415,0.001571
1785748591.021312,90.7537,-8.6583,-47.1739,0.000000,0.000000,0.000000,0.023791,0.001390,0.001183
1785748591.121694,90.7535,-8.6528,-47.2030,0.000000,0.000000,0.000000,-0.007744,-0.000722,-0.001629
1785748591.221216,90.7544,-8.6541,-47.1864,-1.470997,-7.158854,6.295869,-0.020694,-0.001938,-0.001378
1785748591.321772,90.7559,-8.6563,-47.1691,-1.470997,-7.158854,6.295869,-0.008310,0.000061,-0.000188
1785748591.421438,90.7549,-8.6556,-47.1528,-1.470997,-7.158854,6.295869,0.010676,0.000533,0.001070
1785748591.521324,90.7538,-8.6531,-47.1657,-1.470997,-7.158854,6.295869,0.015951,0.002089,0.001256
1785748591.621233,90.7535,-8.6511,-47.1837,-1.470997,-7.158854,6.295869,0.009124,0.001071,0.001443
1785748591.720290,90.7531,-8.6488,-47.1924,-1.480804,-7.129435,6.344903,-0.012976,-0.001879,-0.001181
1785748591.821057,90.7524,-8.6491,-47.1723,-1.480804,-7.129435,6.344903,-0.008990,-0.001793,-0.001055
1785748591.920145,90.7504,-8.6491,-47.1645,-1.480804,-7.129435,6.344903,0.004050,-0.000118,0.000162
1785748592.021072,90.7502,-8.6488,-47.1716,-1.480804,-7.129435,6.344903,0.004060,-0.000489,0.000290
1785748592.121504,90.7484,-8.6459,-47.1737,-1.480804,-7.129435,6.344903,-0.005196,-0.001001,-0.000748
1785748592.221467,90.7475,-8.6465,-47.1659,-1.461191,-7.139241,6.344903,-0.003650,-0.000962,0.000283
1785748592.320246,90.7484,-8.6466,-47.1587,-1.461191,-7.139241,6.344903,0.009672,-0.000113,0.000367
1785748592.421489,90.7467,-8.6418,-47.1757,-1.461191,-7.139241,6.344903,0.006665,0.000296,0.000467
1785748592.521620,90.7485,-8.6425,-47.1827,-1.461191,-7.139241,6.344903,-0.007552,-0.000766,-0.001495
1785748592.621353,90.7480,-8.6437,-47.1683,-1.461191,-7.139241,6.344903,-0.007464,-0.001611,-0.000217
1785748592.720362,90.7500,-8.6434,-47.1581,-1.461191,-7.139241,6.364516,0.004242,0.000564,-0.000092
1785748592.825038,90.7498,-8.6436,-47.1644,-1.461191,-7.139241,6.364516,0.006853,0.000885,0.000086
1785748592.920417,90.7490,-8.6420,-47.1759,-1.461191,-7.139241,6.364516,-0.003131,-0.000595,-0.001365
1785748593.020096,90.7489,-8.6423,-47.1688,-1.461191,-7.139241,6.364516,-0.009471,-0.001166,-0.000847
1785748593.120387,90.7498,-8.6520,-47.1550,-1.461191,-7.139241,6.364516,-0.004437,0.002912,0.000958
1785748593.221348,90.7519,-8.6508,-47.1722,-1.480804,-7.109821,6.364516,0.009652,0.001161,0.000337
1785748593.320192,90.7497,-8.6490,-47.1899,-1.480804,-7.109821,6.364516,-0.018981,-0.001857,-0.001131
1785748593.420379,90.7556,-8.6524,-47.1637,-1.480804,-7.109821,6.364516,-0.024705,-0.001219,-0.002387
1785748593.520489,90.7573,-8.6548,-47.1353,-1.480804,-7.109821,6.364516,0.015098,0.001111,0.000190
1785748593.621346,87.7938,-8.8460,-40.6288,-1.480804,-7.109821,6.364516,0.661405,-0.515339,0.519384
1785748593.720304,87.5778,-8.6598,-41.4556,-1.951523,-5.815343,8.002226,-0.520930,-0.065730,-0.057604
1785748593.823579,86.8294,-8.8179,-41.0051,-1.951523,-5.815343,8.002226,0.316015,-0.163004,0.220743
1785748593.920410,80.3056,-8.1279,-45.6700,-1.951523,-5.815343,8.002226,-1.696136,-1.092647,0.928976
1785748594.021341,80.8790,-7.8194,-37.3518,-1.951523,-5.815343,8.002226,1.756220,-0.347083,-0.197316
1785748594.120261,80.4072,-5.6794,-30.5994,-1.951523,-5.815343,8.002226,1.203520,-0.752967,-0.352413
1785748594.221302,80.1656,-4.4976,-23.7595,-1.412158,-4.010920,7.374601,0.924594,-0.374777,-0.064142
1785748594.320468,79.3321,-4.2152,-20.1262,-1.412158,-4.010920,7.374601,0.768212,-0.050458,0.263534
1785748594.420495,78.9768,-4.0980,-18.6042,-1.412158,-4.010920,7.374601,0.406880,-0.002014,0.017358
1785748594.520296,78.4961,-4.0908,-17.1757,-1.412158,-4.010920,7.374601,0.582937,-0.027435,0.018715
1785748594.620240,78.2526,-3.9808,-16.7618,-1.412158,-4.010920,7.374601,0.112715,-0.049263,-0.199793
